"rfam_acc","description","clen"
"RF00222","Bag-1 internal ribosome entry site (IRES)",370
"RF00636","ncRNA Repressor of NFAT (nuclear factor of activated T cells)",370
"RF02635","Enterococcus sRNA EF0820_EF0821",370
"RF00010","Bacterial RNase P class A",367
"RF00011","Bacterial RNase P class B",366
"RF01471","Listeria sRNA rliB",360
"RF00018","CsrB/RsmB RNA family",356
"RF00023","transfer-messenger RNA",354
"RF02737","Soft rot Enterobacteriaceae Rev 13 asRNA",354
"RF02042","HOXA transcript at the distal tip, conserved region 3",353
"RF00547","TrkB IRES",352
"RF02574","Rickettsia sRNA 10",352
"RF02571","mcr7 sRNA",351
"RF02988","GEBRO RNA",350
"RF01265","Small nucleolar RNA snR42",349
"RF01395","isrL Hfq binding RNA",345
"RF02104","Deleted in lymphocytic leukemia 1 conserved region 2",344
"RF02225","Proteobacterial sRNA sX6",342
"RF02671","Yersinia sRNA 35",339
"RF01849","Alphaproteobacteria transfer-messenger RNA",338
"RF00036","HIV Rev response element",337
"RF02741","Soft rot Enterobacteriaceae Rev 44 asRNA",336
"RF03110","throat-1 RNA",334
"RF00040","RNase E 5' UTR element",334
"RF02080","Salmonella enterica sRNA STnc170",333
"RF01850","Betaproteobacteria transfer-messenger RNA",331
"RF00100","7SK RNA",330
"RF01295","Small Cajal body-specific RNA 7",330
"RF01296","Small nucleolar RNA U85",329
"RF02763","IsrM sRNA",329
"RF01494","Listeria sRNA rliD",327
"RF02249","Six3os1 conserved region 4",326
"RF02767","Yersinia sRNA 186/sR026/CsrC",325
"RF02350","Nitrosomonas sRNA psRNA6",324
"RF02243","Proteobacterial sRNA Xoo8",323
"RF00226","n-myc internal ribosome entry site (IRES)",322
"RF01512","A. fumigatus sRNA Afu_309",322
"RF01857","Archaeal signal recognition particle RNA",318
"RF02610","Brucella sRNA 0709",318
"RF02800","Rickettsia sRNA47",316
"RF01502","Fungal signal recognition particle RNA",314
"RF02878","Mesorhizobail RNA 7",312
"RF02567","Vibrio alginolyticus sRNA 907",311
"RF02689","hilD 3'UTR",310
"RF02852","Yersinia sRNA 206",310
"RF02238","Xanthomonas sRNA asX4/Xoo4",309
"RF00461","Vascular endothelial growth factor (VEGF) IRES A",308
"RF01264","Small nucleolar RNA snR83",308
"RF02654","MicL sRNA",308
"RF01855","Plant signal recognition particle RNA",305
"RF02566","Mycobacterium smegmatis small RNA 1",304
"RF02777","OppA 5' UTR thermometer",304
"RF00009","Nuclear RNase P",303
"RF00373","Archaeal RNase P",303
"RF00216","c-myc internal ribosome entry site (IRES)",302
"RF02189","ST7 overlapping transcript 4 conserved region 3",302
"RF00017","Metazoan signal recognition particle RNA",301
"RF02744","Soft rot Enterobacteriaceae Rev 39 5'UTR",300
"RF02707","TeloSII non coding RNA 33",297
"RF00126","ryfA RNA",296
"RF01756","rne-II RNA",296
"RF02812","anti ponA RNA",295
"RF02209","WT1 antisense RNA conserved region 7",294
"RF01389","isrF Hfq binding RNA",292
"RF02514","5' ureB small RNA",292
"RF01417","Retroviral 3'UTR stability element",289
"RF01851","Cyanobacteria transfer-messenger RNA",288
"RF01822","RNA Staph. aureus A",287
"RF01406","STnc500 Hfq binding RNA",285
"RF01570","Dictyostelium signal recognition particle",283
"RF01670","Pseudomonas sRNA P17",282
"RF02769","Yersinia sRNA 202",282
"RF02210","WT1 antisense RNA conserved region 8",281
"RF02616","Streptococcus sRNA 8",281
"RF01391","isrH Hfq binding RNA",280
"RF00449","HIF-1 alpha IRES",279
"RF00459","Mason-Pfizer monkey virus packaging signal",279
"RF01390","isrG Hfq binding RNA",279
"RF02377","SurA sRNA",278
"RF00470","Togavirus 5' plus strand cis-regulatory element",277
"RF01582","RNA of unknown function RUF4",277
"RF02709","TeloSII non coding RNA 43",277
"RF00064","HgcG RNA (Pab40)",276
"RF01846","Fungal small nucleolar RNA U3",276
"RF01953","SOX2 overlapping transcript exon 3",276
"RF00231","Small Cajal body specific RNA 13",275
"RF00885","microRNA MIR821",275
"RF02687","RAGATH-8 RNA",275
"RF02731","Aggregatibacter sRNA JA03",274
"RF00209","Pestivirus internal ribosome entry site (IRES)",274
"RF00193","Citrus tristeza virus replication signal",273
"RF01263","Small nucleolar RNA snR191",273
"RF02250","Six3os1 conserved region 5",272
"RF02909","Listeria sRNA rli117",272
"RF02858","Actinobacillus sRNA 08",270
"RF02894","Staphylococcus sRNA 35 (srn_0335)",270
"RF01261","Small nucleolar RNA snR82",270
"RF01294","Small nucleolar RNA U89",270
"RF00615","Listeria Hfq binding LhrA",269
"RF01845","Early nodulin 40",269
"RF01968","Rhabdomyosarcoma 2 associated transcript conserved region 7",268
"RF01402","STnc150 Hfq binding RNA",267
"RF02415","Listeria sRNA rliG",267
"RF02649","Ruegeria trans44 sRNA",267
"RF00030","RNase MRP",266
"RF02880","Mesorhizobail RNA 15",266
"RF00478","Small Cajal body specific RNA 6",265
"RF01578","Plasmodium RNA of unkown function RUF1",264
"RF02365","Cyanobacterial functional RNA 17",264
"RF00223","bip internal ribosome entry site (IRES)",263
"RF01472","Listeria sRNA rli40",263
"RF02173","SMAD5 antisense RNA 1 conserved region 1",263
"RF02942","Clostridiales-3 RNA",262
"RF00447","Voltage-gated potassium-channel Kv1.4 IRES",260
"RF01260","Small nucleolar RNA snR11",260
"RF01412","BsrG",259
"RF02816","Hepatitis B virus post-transcriptional regulatory element 1151-1410",259
"RF02933","ARRPOF RNA",257
"RF02825","Legionella RNA 17",256
"RF02675","Yersinia sRNA 141",255
"RF02897","Staphylococcus sRNA 808",255
"RF00061","Hepatitis C virus internal ribosome entry site",255
"RF00084","CsrC RNA family",255
"RF00629","Pseudomonas sRNA P24",255
"RF01259","Small nucleolar RNA snR63",255
"RF01477","Listeria sRNA rli43",255
"RF01854","Bacterial large signal recognition particle RNA",255
"RF02849","Yersinia sRNA 197",254
"RF02851","Yersinia sRNA 283",253
"RF02757","Erse small RNA",252
"RF00229","Picornavirus internal ribosome entry site (IRES)",252
"RF00028","Group I catalytic intron",251
"RF02749","Wolbachia sRNA mel02",251
"RF02970","EGFOA-assoc-1 RNA",250
"RF02160","Prostate androgen-regulated transcript 1 conserved region 2",249
"RF00511","Kaposi's sarcoma-associated herpesvirus internal ribosome entry site",248
"RF00563","Small nucleolar RNA SNORA53",248
"RF02099","rivX sRNA",248
"RF01493","Listeria sRNA rli37",247
"RF02673","Streptomyces sRNA 4677",247
"RF01258","Small nucleolar RNA snR10",245
"RF02205","WT1 antisense RNA conserved region 3",245
"RF00044","Bacteriophage pRNA",244
"RF02558","Coxiella burnetii sRNA 2",243
"RF02590","S. pyogenes small RNA 1186876",243
"RF02143","Hydatidiform mole associated and imprinted conserved region 1",242
"RF01856","Protozoan signal recognition particle RNA",241
"RF02101","Highly up-regulated in liver cancer conserved region",241
"RF02655","Brucella BSR0441 sRNA",240
"RF01487","Listeria sRNA rliI",239
"RF02442","Streptococcus sRNA SpF66",239
"RF00567","Small nucleolar RNA SNORD17",238
"RF02577","S. aureus tsr24 small RNA",238
"RF01703","Dictyoglomi-1 RNA",236
"RF01891","Taurine upregulated gene 1 conserved region 3",236
"RF02695","Nitrogen regulated small RNA",236
"RF02872","sRNA regulator of biofilms A",235
"RF02149","MEST intronic transcript 1, antisense RNA conserved region 2",235
"RF02515","AfaR small RNA",234
"RF02648","Ruegeria cis90 sRNA",234
"RF02140","HOXA11 antisense RNA 1 conserved region 4",233
"RF00534","SgrS RNA",232
"RF02862","Enterococcus sRNA 1300",231
"RF01951","SOX2 overlapping transcript exon 1",230
"RF02134","HTT antisense RNA 1 conserved region 1",230
"RF02423","Burkholderia sRNA Bp1_Cand871_SIPHT",230
"RF02602","Brucella sRNA CI414",229
"RF02005","Group II catalytic intron D1-D4-6",228
"RF02762","C1_109596F  5' UTR thermometer",227
"RF02706","TeloSII non coding RNA 30",226
"RF01950","KCNQ1 overlapping transcript 1 conserved region 5",226
"RF02360","Cyanobacterial functional RNA 8/9",226
"RF00230","T-box leader",224
"RF01464","Listeria sRNA rliA",224
"RF02691","Burkholderia sRNA 19",224
"RF01257","Small nucleolar RNA snR31",223
"RF02050","Salmonella enterica sRNA STnc470",223
"RF00117","C0719 RNA",222
"RF01446","small nucleolar RNA snR95",222
"RF01459","Listeria sRNA rliE",222
"RF02532","Murine norovirus 3'UTR",222
"RF02842","Enterococcus sRNA A1",222
"RF03077","RT-2 RNA",222
"RF00261","L-myc internal ribosome entry site (IRES)",221
"RF00893","microRNA MIR854",221
"RF01847","Plant small nucleolar RNA U3",221
"RF01476","Listeria sRNA rliF",220
"RF01848","ACEA small nucleolar RNA U3",220
"RF01976","HOX antisense intergenic RNA myeloid 1 conserved region 2",220
"RF00045","Small nucleolar RNA SNORA73 family",219
"RF00012","Small nucleolar RNA U3",218
"RF01758","sucA-II RNA",218
"RF02159","Prostate androgen-regulated transcript 1 conserved region 1",218
"RF00448","Epstein-Barr virus nuclear antigen (EBNA) IRES",217
"RF02079","Enterobacterial sRNA STnc180",217
"RF02247","Six3os1 conserved region 2",217
"RF00495","Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES)",216
"RF03065","IS605-orfB-I RNA",216
"RF01681","Pseudomonas sRNA P4",215
"RF02112","DLG2 antisense RNA 1 conserved region 1",215
"RF02113","DLG2 antisense RNA 1 conserved region 2",215
"RF02452","Bacillus sRNA ncr1575",215
"RF00552","rncO",214
"RF01407","STnc560 Hfq binding RNA",214
"RF02604","Brucella sRNA CI153",214
"RF01673","PhrS",213
"RF02560","Coxiella burnetii sRNA 9",213
"RF02650","Cag non-coding RNA1",213
"RF02857","Leptospira sRNA 30_255",213
"RF03090","lysM-Actino RNA",213
"RF02886","Mycobacterium sRNA 6715",212
"RF03108","Methylosinus-1 RNA",212
"RF00083","GlmZ RNA activator of glmS mRNA",212
"RF00524","R2 RNA element",212
"RF01447","small nucleolar RNA snR98",212
"RF01262","Small nucleolar RNA snR44",211
"RF01450","small nucleolar RNA snR96",211
"RF01715","Pedo-repair RNA",211
"RF02190","ST7 overlapping transcript 4 conserved region 4",211
"RF03072","raiA RNA",211
"RF02919","ilvB-OMG RNA",210
"RF01445","small nucleolar RNA snR94",210
"RF02376","SR1 sRNA",210
"RF00125","IS128 RNA",209
"RF01440","small nucleolar RNA snR42",208
"RF02122","FTX transcript, XIST regulator conserved region 5",208
"RF02357","RNaseP truncated form",208
"RF02422","Burkholderia sRNA Bp1_Cand738_SIPHT",208
"RF02830","Streptomyces RNA 1601",208
"RF02867","Burkholderia sRNA 11",207
"RF01256","Small nucleolar RNA snR43",207
"RF01589","small nucleolar RNA snoR11",207
"RF01888","Embryonic ventral forebrain RNA 1 conserved region 2",207
"RF02384","FasX small RNA",207
"RF00124","IS102 RNA",206
"RF01254","Small nucleolar RNA snR34",206
"RF02076","Gammaproteobacterial sRNA STnc100",206
"RF02760","sR035 sRNA",206
"RF02690","Burkholderia sRNA 1",205
"RF02815","Lig 5' UTR thermometer",205
"RF01928","Maternal intergenic circadian oscillating RNA 1",205
"RF02091","DAOA antisense RNA 1 conserved region 2",205
"RF02102","Disrupted in schizophrenia 2 conserved region",205
"RF02212","ZFAT antisense RNA 1 conserved region 2",205
"RF02368","Cyanobacterial functional RNA 21",205
"RF02456","Dianthovirus RNA2 3'UTR stem loops",205
"RF00487","Connexin-43 internal ribosome entry site (IRES)",204
"RF01255","Small nucleolar RNA snR35",204
"RF01702","Cyano-2 RNA",204
"RF00457","Mnt IRES",203
"RF01967","Rhabdomyosarcoma 2 associated transcript conserved region 6",203
"RF02141","HOXA11 antisense RNA 1 conserved region 5",203
"RF02881","Mesorhizobail RNA 25",203
"RF01992","Viral integration site 1",202
"RF02082","Enterobacterial sRNA STnc540",202
"RF00090","Small nucleolar RNA SNORA74",201
"RF00458","Cripavirus internal ribosome entry site (IRES)",201
"RF01397","isrO Hfq binding RNA",201
"RF02090","DAOA antisense RNA 1 conserved region 1",201
"RF02187","ST7 overlapping transcript 4 conserved region 1",201
"RF02349","Proteobacterial sRNA psRNA2",201
"RF02355","Bradyrhizobiaceae sRNA BjrC174",201
"RF02004","Group II catalytic intron D1-D4-5",200
"RF02251","Six3os1 conserved region 6",200
"RF02409","Small nucleolar RNA snoR125",200
"RF02608","Acinetobacter sRNA 11",200
"RF02911","Baculoviridae Nucleocapsid Assembly essential Element",200
"RF01807","GIR1 branching ribozyme",199
"RF02272","Vax2os1 conserved region 3",199
"RF00022","GcvB RNA",198
"RF00441","Small nucleolar RNA Z242",198
"RF01249","Small nucleolar RNA snR190",198
"RF02111","IS009",198
"RF02215","ZNFX1 antisense RNA 1 conserved region 1",198
"RF02563","Coxiella burnetii sRNA 3",198
"RF01253","Small nucleolar RNA snR46",197
"RF00638","microRNA MIR159",196
"RF01252","Small nucleolar RNA snR5",196
"RF01496","A. fumigatus sRNA Afu_182",196
"RF01700","Collinsella-1 RNA",196
"RF01947","KCNQ1 overlapping transcript 1 conserved region 2",196
"RF02559","Coxiella burnetii sRNA 4",196
"RF02614","Brucella sRNA 1073",196
"RF02696","Teg49 sRNA",196
"RF02723","Small nucleolar RNA ZL1",196
"RF02863","Enterococcus sRNA 2410",196
"RF03037","PAGEV RNA",196
"RF02850","Yersinia sRNA 276",195
"RF01752","psaA RNA",195
"RF00628","RgsA sRNA",194
"RF01808","MicX Vibrio cholerae sRNA",194
"RF02252","Six3os1 conserved region 7",194
"RF02855","Yersinia sRNA 251",194
"RF02778","FdoG-1 5' UTR thermometer",193
"RF03018","RT-15 RNA",193
"RF00004","U2 spliceosomal RNA",193
"RF01250","Small nucleolar RNA snR189",193
"RF01251","Small nucleolar RNA snR3",193
"RF01970","Rhabdomyosarcoma 2 associated transcript conserved region 9",193
"RF01674","Pseudomonas sRNA P27",192
"RF02392","Staphylococcus sRNA sau-53",192
"RF02503","Rhizobiales sRNA Atu_C9",192
"RF00174","Cobalamin riboswitch",191
"RF00621","Beta-globin co-transcriptional cleavage ribozyme",191
"RF01247","Small nucleolar RNA snR32",191
"RF01788","drz-agam-2-2 ribozyme",191
"RF02034","IMES-1 RNA motif",191
"RF02375","Aar sRNA",191
"RF02414","Listeria sRNA rli60",191
"RF02601","Brucella sRNA CI337",191
"RF03028","RT-7 RNA",191
"RF02792","Archaeal Small RNA 162",190
"RF00882","microRNA MIR811",190
"RF01745","manA RNA",190
"RF02103","Deleted in lymphocytic leukemia 1 conserved region 1",190
"RF02603","Brucella sRNA CII26",190
"RF01819","RNA Staph. aureus D",189
"RF02562","Coxiella burnetii sRNA 14",189
"RF00013","6S / SsrS RNA",188
"RF01246","Small nucleolar RNA snR81",188
"RF01462","Listeria sRNA rli26",188
"RF00424","Small Cajal body specific RNA 16",187
"RF01244","Small nucleolar RNA snR4",187
"RF01245","Small nucleolar RNA snR9",187
"RF01419","Antisense RNA which regulates isiA expression",187
"RF01449","small nucleolar RNA snR100",187
"RF01580","Plasmodium RNA of unkown function RU6-F3",187
"RF02138","HOXA11 antisense RNA 1 conserved region 2",187
"RF02259","Vax2os1 conserved region 1",187
"RF02657","Sense overlapping transcript RNA 2652 (sot)",187
"RF01492","Listeria sRNA rli28",186
"RF02196","TP53 target 1 conserved region 2",186
"RF02861","Neisseria sRNA 84",186
"RF02876","Antisense to pHK01_099",185
"RF01452","small nucleolar RNA snR99",185
"RF00319","Small nucleolar RNA SNORA23",184
"RF00337","Small nucleolar RNA Z112",184
"RF01248","Small nucleolar RNA snR8",184
"RF02200","TTC28 antisense RNA 1 conserved region 3",184
"RF02471","Actinobacteria sRNA Ms_IGR-5",184
"RF00168","Lysine riboswitch",183
"RF01243","Small nucleolar RNA snR33",183
"RF02783","IscS-1 ICR thermometer",183
"RF00252","Alfalfa mosaic virus coat protein binding (CPB) RNA",182
"RF02237","Xanthomonas sRNA asX3",182
"RF00883","microRNA MIR820",181
"RF01484","Listeria sRNA rli59",181
"RF02578","S. aureus tsr25 small RNA",181
"RF02986","FuFi-1 RNA",181
"RF02799","Chromosome-encoded Shigella sRNA B",180
"RF02901","Aggregatibacter sRNA 41",180
"RF00623","Pseudomonas sRNA P1",180
"RF01240","Small nucleolar RNA snR85",180
"RF01242","Small nucleolar RNA snR36",180
"RF01266","Small nucleolar RNA snR45",180
"RF01887","Embryonic ventral forebrain RNA 1 conserved region 1",180
"RF01892","Taurine upregulated gene 1 conserved region 4",180
"RF02271","TUC338",180
"RF02606","Acinetobacter sRNA 28",180
"RF01241","Small nucleolar RNA SNORA81",179
"RF01693","Bacteroidales-1 RNA",179
"RF02142","HOXA11 antisense RNA 1 conserved region 6",179
"RF02258","Adaptive response 33 conserved region 4",179
"RF02638","Enterococcus sRNA EF0605_EF0606",179
"RF02647","Ruegeria cis52 sRNA",179
"RF02694","RalR antitoxin",179
"RF03069","malK-I RNA",179
"RF00025","Ciliate telomerase RNA",178
"RF02164","Pvt1 oncogene conserved region 1",178
"RF02668","Drosophila small cajal body-specific RNA PsiU2-55",178
"RF00082","SraG RNA",177
"RF02078","Salmonella enterica sRNA STnc210",177
"RF00886","microRNA MIR807",176
"RF01269","Small nucleolar RNA snR80",176
"RF02073","Salmonella enterica sRNA STnc260",176
"RF02156","NPPA antisense RNA 1 conserved region 1",176
"RF02612","Brucella sRNA 1350",176
"RF02640","S. pyogenes small RNA MOSES4",176
"RF00080","yybP-ykoY manganese riboswitch",175
"RF02135","HTT antisense RNA 1 conserved region 2",175
"RF02895","Staphylococcus sRNA 414",175
"RF01889","LincRNA-p21 conserved region 1",174
"RF02424","Burkholderia sRNA Bp2_Cand287_SIPHT",174
"RF02504","Rhizobiales sRNA Atu_L1",174
"RF02656","Sense overlapping transcript RNA 0042 (sot)",174
"RF02659","ncRv12659 sRNA",174
"RF01481","Listeria sRNA rli53",173
"RF01528","caulobacter sRNA CC3513",173
"RF02165","Pvt1 oncogene conserved region 2",173
"RF02167","Pvt1 oncogene conserved region 4",173
"RF02176","SMAD5 antisense RNA 1 conserved region 4",173
"RF02712","Epstein-Barr virus EBER2",173
"RF02859","Actinobacillus sRNA 11",173
"RF01005","microRNA MIR530",172
"RF01438","small nucleolar RNA snR35",172
"RF02188","ST7 overlapping transcript 4 conserved region 2",172
"RF02593","Nitrogen stress-induced RNA 8",172
"RF00234","glmS glucosamine-6-phosphate activated ribozyme",171
"RF01474","Listeia sRNA rli42",171
"RF02001","Group II catalytic intron D1-D4-3",171
"RF02116","FAS antisense RNA 1 conserved region",171
"RF02836","Burkholderia RNA 14",171
"RF02936","Chloroflexus-1 RNA",171
"RF01239","Small nucleolar RNA snR49",170
"RF01911","microRNA MIR2118",170
"RF00077","SraB RNA",169
"RF00259","Interferon gamma 5' UTR regulatory element",169
"RF00380","ykoK leader",169
"RF01432","small nucleolar RNA snoR143",169
"RF02374","Yersinia YenS sRNA",169
"RF02609","Brucella sRNA 0602",169
"RF02819","Vibrio RNA AS7",169
"RF02870","Burkholderia sRNA 35",168
"RF00058","HgcF RNA (Pab35)",168
"RF00232","Spi-1 (PU.1) 5' UTR regulatory element",168
"RF00387","FGF-1 internal ribosome entry site (IRES)",168
"RF01441","small nulceolar RNA snR46",168
"RF01731","TwoAYGGAY RNA",168
"RF01434","small nucleolar RNA snR3",167
"RF01437","small nucleolar RNA snR10",167
"RF02223","Proteobacterial sRNA sX4",167
"RF02457","Tombusvirus 3' cap-independent translation element",167
"RF02600","Brucella sRNA CI27",167
"RF02848","Enterococcus sRNA B11",167
"RF02860","Actinobacillus sRNA 14",167
"RF03053","OTKONC RNA",166
"RF03098","RAGATH-22 RNA",166
"RF00003","U1 spliceosomal RNA",166
"RF00171","Tombusvirus 5' UTR",166
"RF00553","Small Cajal body specific RNA 1",166
"RF01699","Clostridiales-1 RNA",166
"RF01789","Epstein-Barr virus EBER1",166
"RF02043","HOXA transcript at the distal tip, conserved region 4",166
"RF02052","Enterobacterial sRNA STnc630",166
"RF02527","Streptococcus sRNA SSRC38",166
"RF01043","microRNA MIR1023",165
"RF01237","Small nucleolar RNA snR161",165
"RF01238","Small nucleolar RNA snR70",165
"RF01879","Non-coding RNA LOC285194",165
"RF02178","Smith-Magenis syndrome chromosome region, candidate 2 conserved region 2",165
"RF02864","Enterococcus sRNA 30",165
"RF02956","DUF2693 RNA",165
"RF03046","Pseudomonadales-1 RNA",164
"RF01439","small nucleolar RNA snR36",164
"RF02607","Acinetobacter sRNA 25",164
"RF00128","Glm Y RNA activator of glmS mRNA",163
"RF00369","sroC RNA",163
"RF01488","Listeria sRNA rli49",163
"RF01610","Caenorhabditis snoRNA ceN104",163
"RF01399","isrQ Hfq binding RNA",162
"RF01743","leu/phe leader RNA from Lactococcus",162
"RF02053","Enterobacterial sRNA STnc430",162
"RF02198","TTC28 antisense RNA 1 conserved region 1",162
"RF02354","Bradyrhizobiaceae sRNA BjrC80",162
"RF02678","Hatchet ribozyme",162
"RF02708","TeloSII non coding RNA 40",162
"RF03019","RT-16 RNA",162
"RF02837","Burkholderia RNA 7 (anti-hemB)",161
"RF00372","sroH RNA",161
"RF02197","TP73 antisense RNA 1 conserved region",161
"RF02378","SurC sRNA",161
"RF02524","Streptococcus sRNA sagA",161
"RF01416","NrrF RNA",160
"RF01584","small nucleolar RNA snoR03",160
"RF01601","small nucleolar RNA snoR26",160
"RF02072","Salmonella enterica sRNA STnc590",160
"RF02404","Pseudomonas sRNA P33",160
"RF02613","Brucella sRNA 0739",160
"RF00102","VA RNA",159
"RF00389","Bamboo mosaic virus satellite RNA cis-regulatory element",159
"RF01619","C. elegans sRNA ceN115",159
"RF01957","Nuclear enriched abundant transcript 1 conserved region 3",159
"RF02070","Salmonella enterica sRNA STnc300",159
"RF02177","Smith-Magenis syndrome chromosome region, candidate 2 conserved region 1",159
"RF02234","Xanthomonadaceae sRNA sX15",159
"RF02665","Drosophila small cajal body-specific RNA PsiU1-6",159
"RF01442","small nucleolar RNA snR90",158
"RF01461","Listeria sRNA rli22",158
"RF01504","A. fumigatus sRNA Afu_254",158
"RF01794","sok antitoxin (CssrC)",158
"RF02047","Sphinx conserved region 2",158
"RF02060","Enterobacterial sRNA STnc410",158
"RF02605","Streptomyces sRNA scr5239",158
"RF02960","DUF2800 RNA",158
"RF02884","Burkholderia sRNA 7",157
"RF02501","Rhizobiales sRNA Atu_C7",157
"RF00091","Small nucleolar RNA SNORA62/SNORA6 family",156
"RF00540","Small nucleolar RNA psi18S-1854",156
"RF01581","Plasmodium RNA of unknown function RUF6-5",156
"RF02194","Bacterial antisense RNA HPnc0260",156
"RF02199","TTC28 antisense RNA 1 conserved region 2",156
"RF02390","Staphylococcus sRNA sau-41",156
"RF02498","Rhizobiales sRNA Atu_C3",156
"RF00007","U12 minor spliceosomal RNA",155
"RF01637","Nematode snoRNA ceN47",155
"RF01757","sbcD RNA",155
"RF00002","5.8S ribosomal RNA",154
"RF01579","Plasmodium RNA of unknown function RUF2",154
"RF01971","Rhabdomyosarcoma 2 associated transcript conserved region 10",154
"RF01983","Pregnancy induced noncoding RNA",154
"RF02411","Small nucleolar RNA snoR138",154
"RF02774","KatA 5' UTR thermometer",154
"RF02834","Vibrio RNA VqmR",154
"RF02998","IS605-orfB-II RNA",154
"RF02729","Aggregatibacter sRNA JA01",153
"RF00518","speF leader",153
"RF00620","Hepatitis C alternative reading frame stem-loop",153
"RF02195","TP53 target 1 conserved region 1",153
"RF02645","Ruegeria cis2 sRNA",153
"RF00306","Small nucleolar RNA Z178",152
"RF00433","Hsp90 cis-regulatory element",152
"RF01728","STAXI RNA",152
"RF01884","Non-coding RNA BC040587",152
"RF02311","Tetrahymena snoRNA TtnuHACA3",152
"RF02410","Small nucleolar RNA snoR136",152
"RF02868","Burkholderia sRNA 37",152
"RF02973","Enterococcus-1 RNA",152
"RF03089","cold-seep-1 RNA",152
"RF02672","Small pathogenicity island RNA X",151
"RF02686","RAGATH-6 RNA",151
"RF02951","DABA-DC-AT RNA",151
"RF00225","Tobamovirus internal ribosome entry site (IRES)",151
"RF00920","microRNA MIR444",151
"RF01293","Small nucleolar RNA ACA59",151
"RF02525","Streptococcus sRNA SSRC30",151
